Type,maximum_budget,maximum_budget_unit,case_study,,,,
,1012.369442,MtCO2e,MA-EG_Collab,,,,
,0,MtCO2e,MA-EG_Collab,,,,
,113.6762599,MtCO2e,MA-EG_Collab,,,,
,227.3525197,MtCO2e,MA-EG_Collab,,,,
,341.0287796,MtCO2e,MA-EG_Collab,,,,
,454.7050395,MtCO2e,MA-EG_Collab,,,,
,568.3812993,MtCO2e,MA-EG_Collab,,,,
,682.0575592,MtCO2e,MA-EG_Collab,,,,
,795.7338191,MtCO2e,MA-EG_Collab,,,,
,909.4100789,MtCO2e,MA-EG_Collab,,,,
,1023.086339,MtCO2e,MA-EG_Collab,,,,
,2218.059371,MtCO2e,MA-NG_Collab,,,,
,1109.029686,MtCO2e,MA-NG_Collab,,,,
,0,MtCO2e,MA-NG_Collab,,,,
,305.3999079,MtCO2e,MA-NG_Collab,,,,
,610.7998158,MtCO2e,MA-NG_Collab,,,,
,916.1997238,MtCO2e,MA-NG_Collab,,,,
,1221.599632,MtCO2e,MA-NG_Collab,,,,
,1526.99954,MtCO2e,MA-NG_Collab,,,,
,1832.399448,MtCO2e,MA-NG_Collab,,,,
,2137.799355,MtCO2e,MA-NG_Collab,,,,
,2443.199263,MtCO2e,MA-NG_Collab,,,,
,1878.617418,MtCO2e,MA-EG-NG_Collab,,,,
,0,MtCO2e,MA-EG-NG_Collab,,,,
,350.7784539,MtCO2e,MA-EG-NG_Collab,,,,
,701.5569078,MtCO2e,MA-EG-NG_Collab,,,,
,1052.335362,MtCO2e,MA-EG-NG_Collab,,,,
,1403.113816,MtCO2e,MA-EG-NG_Collab,,,,
,1753.89227,MtCO2e,MA-EG-NG_Collab,,,,
,2104.670724,MtCO2e,MA-EG-NG_Collab,,,,
,2455.449177,MtCO2e,MA-EG-NG_Collab,,,,
,2806.227631,MtCO2e,MA-EG-NG_Collab,,,,
,3157.006085,MtCO2e,MA-EG-NG_Collab,,,,
,1050.209419,MtCO2e,MA-KE-EG_Collab,,,,
,0,MtCO2e,MA-KE-EG_Collab,,,,
,128.8080502,MtCO2e,MA-KE-EG_Collab,,,,
,257.6161005,MtCO2e,MA-KE-EG_Collab,,,,
,386.4241507,MtCO2e,MA-KE-EG_Collab,,,,
,515.232201,MtCO2e,MA-KE-EG_Collab,,,,
,644.0402512,MtCO2e,MA-KE-EG_Collab,,,,
,772.8483015,MtCO2e,MA-KE-EG_Collab,,,,
,901.6563517,MtCO2e,MA-KE-EG_Collab,,,,
,1030.464402,MtCO2e,MA-KE-EG_Collab,,,,
,1159.272452,MtCO2e,MA-KE-EG_Collab,,,,
,2293.739324,MtCO2e,MA-KE-NG_Collab,,,,
,1146.869662,MtCO2e,MA-KE-NG_Collab,,,,
